> SIRV101
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 35 36 193
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 717 789 50
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 1002 1106 116
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 1144 1256 89
> SIRV102
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 245 107 208
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 476 818 295
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 841 1179 41
  59:425|be4cb2dd-170c-4d80-8b01-d33a8e1838ee_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90013_ch=485_start_time=2019-04-13T14:01:21Z_strand=-_strand=+ 20 275 318
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 0 1 178
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 243 244 462
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 717 715 556
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 73 78 174
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 303 308 107
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 419 427 73
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 581 585 186
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 1002 1049 116
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 1144 1199 89
> SIRV105
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 245 154 208
  59:425|be4cb2dd-170c-4d80-8b01-d33a8e1838ee_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=90013_ch=485_start_time=2019-04-13T14:01:21Z_strand=-_strand=+ 20 322 318
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 0 48 178
  57:1358|1d08702a-72b3-424a-a92e-1bcfa37e87bb_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=107366_ch=42_start_time=2019-04-13T16:47:25Z_strand=-_strand=+ 243 291 358
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 73 125 174
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 303 355 107
  55:1298|17df3a27-6de5-4b16-b60c-3a194a4e39f3_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=25607_ch=20_start_time=2019-04-12T21:27:31Z_strand=-_strand=+ 419 474 73
> SIRV107
  54:1029|ffe8064b-1498-4cc4-a85a-8fedd1760523_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=109152_ch=435_start_time=2019-04-13T17:47:58Z_strand=-_strand=+ 35 641 55
> SIRV109
  53:519|2d29b331-6d91-4433-b5c9-78f54dde703b_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=46149_ch=262_start_time=2019-04-13T02:39:03Z_strand=-_strand=+ 3 5 440
  112:557|cea86131-494a-415d-9c3b-1055bde1362c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=64630_ch=78_start_time=2019-04-13T07:45:50Z_strand=+_strand=+ 17 20 276
  56:519|37621900-8817-415a-a32c-96a5ee2c4c2f_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=40539_ch=461_start_time=2019-04-13T00:52:26Z_strand=-_strand=+ 26 29 435
  107:564|cd47db92-9f52-493c-92de-aa29e1771edf_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=37889_ch=392_start_time=2019-04-13T00:47:51Z_strand=+_strand=+ 1 4 422
  58:518|b0a9e67b-8789-4b4c-8c8b-2e935a5fa882_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=127161_ch=190_start_time=2019-04-14T00:18:36Z_strand=-_strand=+ 1 3 439
  51:537|1eb6f9f4-2816-43c3-ae7d-8304ece013ab_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=38615_ch=250_start_time=2019-04-13T02:50:54Z_strand=-_strand=+ 146 139 100
  51:537|1eb6f9f4-2816-43c3-ae7d-8304ece013ab_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=38615_ch=250_start_time=2019-04-13T02:50:54Z_strand=-_strand=+ 273 266 119
  73:535|f76b6f1b-3b26-4eaf-90f5-372f0a021b5d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=8540_ch=93_start_time=2019-04-12T17:33:44Z_strand=-_strand=+ 0 2 374
  52:526|1d174643-ffe9-4e3f-a9a7-2f4d24000c52_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=102747_ch=443_start_time=2019-04-13T14:42:02Z_strand=-_strand=+ 116 114 189
  52:526|1d174643-ffe9-4e3f-a9a7-2f4d24000c52_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=102747_ch=443_start_time=2019-04-13T14:42:02Z_strand=-_strand=+ 351 348 85
  56:506|6eaea1ed-556e-49ea-bebf-54a3b7ac501d_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=11836_ch=81_start_time=2019-04-12T18:09:00Z_strand=-_strand=+ 7 8 401
  53:535|192bbea4-0ded-4d03-a637-e3c235bcee3c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=29267_ch=488_start_time=2019-04-12T23:08:09Z_strand=-_strand=+ 82 75 97
  53:535|192bbea4-0ded-4d03-a637-e3c235bcee3c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=29267_ch=488_start_time=2019-04-12T23:08:09Z_strand=-_strand=+ 234 226 202
  58:522|d3a7c48a-e476-4c2b-a8fa-83a0bc6ea45e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=15851_ch=76_start_time=2019-04-12T19:19:47Z_strand=-_strand=+ 7 9 192
  58:522|d3a7c48a-e476-4c2b-a8fa-83a0bc6ea45e_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=15851_ch=76_start_time=2019-04-12T19:19:47Z_strand=-_strand=+ 220 223 92
  57:539|342f4a18-a045-4141-82a8-f49f40d85da0_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=34527_ch=37_start_time=2019-04-12T23:45:16Z_strand=-_strand=+ 1 4 332
  56:528|2ddbcbfa-e9af-4ada-8cb0-d4eded56397c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=59655_ch=438_start_time=2019-04-13T04:25:49Z_strand=-_strand=+ 2 4 329
  56:528|2ddbcbfa-e9af-4ada-8cb0-d4eded56397c_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=59655_ch=438_start_time=2019-04-13T04:25:49Z_strand=-_strand=+ 371 365 78
> SIRV201
  55:754|b3892b98-5492-4d48-b288-1fc2aa6e87ef_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101874_ch=173_start_time=2019-04-13T14:35:51Z_strand=-_strand=+ 18 32 67
  55:754|b3892b98-5492-4d48-b288-1fc2aa6e87ef_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101874_ch=173_start_time=2019-04-13T14:35:51Z_strand=-_strand=+ 147 120 119
  55:754|b3892b98-5492-4d48-b288-1fc2aa6e87ef_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101874_ch=173_start_time=2019-04-13T14:35:51Z_strand=-_strand=+ 429 404 46
  56:751|3f13c64f-ce23-4d2d-bb6d-b5eae9ed8790_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28254_ch=61_start_time=2019-04-12T22:09:17Z_strand=-_strand=+_rescue=1 12 26 89
  56:751|3f13c64f-ce23-4d2d-bb6d-b5eae9ed8790_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28254_ch=61_start_time=2019-04-12T22:09:17Z_strand=-_strand=+_rescue=1 192 173 203
  56:751|3f13c64f-ce23-4d2d-bb6d-b5eae9ed8790_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28254_ch=61_start_time=2019-04-12T22:09:17Z_strand=-_strand=+_rescue=1 418 392 86
  56:751|3f13c64f-ce23-4d2d-bb6d-b5eae9ed8790_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28254_ch=61_start_time=2019-04-12T22:09:17Z_strand=-_strand=+_rescue=1 568 538 113
  93:822|8554c96d-344f-4ea2-b436-81ba881f2244_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=36286_ch=288_start_time=2019-04-13T03:42:26Z_strand=+_strand=+ 258 208 455
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 3 0 86
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 127 123 547
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 718 724 552
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 1337 1348 453
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 1792 1805 202
  1716:3428|42254beb-bf6a-4b80-9b28-57dc01a9d783_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=29450_ch=347_start_time=2019-04-12T23:07:20Z_strand=+_strand=+_rescue=1 9 343 204
  1716:3428|42254beb-bf6a-4b80-9b28-57dc01a9d783_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=29450_ch=347_start_time=2019-04-12T23:07:20Z_strand=+_strand=+_rescue=1 224 557 1475
> SIRV202
  55:754|b3892b98-5492-4d48-b288-1fc2aa6e87ef_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101874_ch=173_start_time=2019-04-13T14:35:51Z_strand=-_strand=+ 18 36 67
  55:754|b3892b98-5492-4d48-b288-1fc2aa6e87ef_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101874_ch=173_start_time=2019-04-13T14:35:51Z_strand=-_strand=+ 147 124 119
  55:754|b3892b98-5492-4d48-b288-1fc2aa6e87ef_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=101874_ch=173_start_time=2019-04-13T14:35:51Z_strand=-_strand=+ 429 408 46
  56:751|3f13c64f-ce23-4d2d-bb6d-b5eae9ed8790_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28254_ch=61_start_time=2019-04-12T22:09:17Z_strand=-_strand=+_rescue=1 12 30 89
  56:751|3f13c64f-ce23-4d2d-bb6d-b5eae9ed8790_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28254_ch=61_start_time=2019-04-12T22:09:17Z_strand=-_strand=+_rescue=1 192 177 203
  56:751|3f13c64f-ce23-4d2d-bb6d-b5eae9ed8790_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28254_ch=61_start_time=2019-04-12T22:09:17Z_strand=-_strand=+_rescue=1 418 396 86
  56:751|3f13c64f-ce23-4d2d-bb6d-b5eae9ed8790_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=28254_ch=61_start_time=2019-04-12T22:09:17Z_strand=-_strand=+_rescue=1 568 542 113
  93:822|8554c96d-344f-4ea2-b436-81ba881f2244_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=36286_ch=288_start_time=2019-04-13T03:42:26Z_strand=+_strand=+ 258 212 455
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 3 4 86
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 127 127 529
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 718 679 552
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 1337 1303 453
  55:2093|e7067f11-4618-4f79-b1aa-28048228e550_runid=8c239806e6f576cd17d6b7d532976b1fe830f9c6_sampleid=pcs109_sirv_mix2_LC_read=33138_ch=395_start_time=2019-04-12T23:23:55Z_strand=-_strand=+ 1792 1760 159
